Index	Label	Type	Name	ID	Integral [a.u.]	Area [pixel]	Bkg [a.u.]	Integral-Bkg [a.u.]	Integral/Area [a.u./pixel]	Integral/Area-Bkg [a.u./pixel]	Median [a.u.]	Median-Bkg [a.u.]	Normalized [%]	Normalized-Bkg [%]	Average [a.u.]	Average-Bkg [a.u.]	Average [%]	Average-Bkg [%]	Deviation [a.u.]	Deviation [%]	Deviation-Bkg [a.u.]	Deviation-Bkg [%]	Homogeneity [%]	Quality
154	1-7,22			6G3	5.4338684082	61	0.8442230225	4.5896453857	0.0890798100	0.0752400883	0.0862121582	0.0723724365	--	--	--	--	--	--	--	--	--	--	3.0	
155	1-8,1			188D2	1.5829162598	61	0.8032684326	0.7796478271	0.0259494469	0.0127811119	0.0253448486	0.0121765137	--	--	--	--	--	--	--	--	--	--	9.7	
156	1-8,2			181O14	2.8906707764	61	0.8730773926	2.0175933838	0.0473880455	0.0330753014	0.0459442139	0.0316314697	--	--	--	--	--	--	--	--	--	--	0.6	
157	1-8,3			176K4	2.7078094482	61	0.9670867920	1.7407226562	0.0443903188	0.0285364370	0.0436706543	0.0278167725	--	--	--	--	--	--	--	--	--	--	5.6	
158	1-8,4			170E19	2.4936676025	61	0.7958221436	1.6978454590	0.0408797968	0.0278335321	0.0353240967	0.0222778320	--	--	--	--	--	--	--	--	--	--	4.9	
159	1-8,5			196P8	1.9856872559	61	0.7381134033	1.2475738525	0.0325522501	0.0204520304	0.0315246582	0.0194244385	--	--	--	--	--	--	--	--	--	--	1.0	
160	1-8,6			164G20	2.0552520752	61	0.7623138428	1.2929382324	0.0336926570	0.0211957087	0.0314941406	0.0189971924	--	--	--	--	--	--	--	--	--	--	9.4	
161	1-8,7			145B13	2.7612762451	61	0.7464904785	2.0147857666	0.0452668237	0.0330292749	0.0445251465	0.0322875977	--	--	--	--	--	--	--	--	--	--	12.9	
162	1-8,8			126K20	1.4023437500	61	0.7832565308	0.6190872192	0.0229892418	0.0101489708	0.0230255127	0.0101852417	--	--	--	--	--	--	--	--	--	--	6.7	
163	1-8,9			124G7	1.2800750732	61	0.7530059814	0.5270690918	0.0209848373	0.0086404769	0.0214691162	0.0091247559	--	--	--	--	--	--	--	--	--	--	17.3	
164	1-8,10			120O19	6.7521820068	61	0.8088531494	5.9433288574	0.1106915083	0.0974316206	0.1115264893	0.0982666016	--	--	--	--	--	--	--	--	--	--	3.0	
165	1-8,11			116K5	1.9019012451	61	0.7511444092	1.1507568359	0.0311787089	0.0188648662	0.0311126709	0.0187988281	--	--	--	--	--	--	--	--	--	--	0.2	
166	1-8,12			113C19	1.3659362793	61	0.7325286865	0.6334075928	0.0223923980	0.0103837310	0.0224609375	0.0104522705	--	--	--	--	--	--	--	--	--	--	4.8	
167	1-8,13			110P7	1.4685516357	61	0.7134475708	0.7551040649	0.0240746170	0.0123787552	0.0235900879	0.0118942261	--	--	--	--	--	--	--	--	--	--	4.5	
168	1-8,14			108B20	1.4412231445	61	0.7232208252	0.7180023193	0.0236266089	0.0117705298	0.0226898193	0.0108337402	--	--	--	--	--	--	--	--	--	--	4.6	
169	1-8,15			105C20	1.4912719727	61	0.6943664551	0.7969055176	0.0244470815	0.0130640249	0.0251922607	0.0138092041	--	--	--	--	--	--	--	--	--	--	7.6	
170	1-8,16			99K22	1.6783294678	61	0.7260131836	0.9523162842	0.0275135978	0.0156117424	0.0214996338	0.0095977783	--	--	--	--	--	--	--	--	--	--	40.0	
171	1-8,17			91J7	1.6139221191	61	0.7339248657	0.8799972534	0.0264577397	0.0144261845	0.0292358398	0.0172042847	--	--	--	--	--	--	--	--	--	--	25.7	
172	1-8,18			70O22	4.1199493408	61	0.6985549927	3.4213943481	0.0675401531	0.0560884319	0.0678405762	0.0563888550	--	--	--	--	--	--	--	--	--	--	2.1	
173	1-8,19			62K6	2.6995086670	61	0.7423019409	1.9572067261	0.0442542404	0.0320853562	0.0443725586	0.0322036743	--	--	--	--	--	--	--	--	--	--	1.6	
174	1-8,20			52E21	2.3460235596	61	0.9056549072	1.4403686523	0.0384594026	0.0236126009	0.0388183594	0.0239715576	--	--	--	--	--	--	--	--	--	--	1.7	
175	1-8,21			20P15	3.1544189453	61	0.8149032593	2.3395156860	0.0517117860	0.0383527162	0.0518951416	0.0385360718	--	--	--	--	--	--	--	--	--	--	2.7	
176	1-8,22			6G20	2.2512512207	61	0.8242111206	1.4270401001	0.0369057577	0.0233941000	0.0401153564	0.0266036987	--	--	--	--	--	--	--	--	--	--	10.4	
177	1-9,1			188D20	10.3881530762	61	0.7534713745	9.6346817017	0.1702975914	0.1579456017	0.1708374023	0.1584854126	--	--	--	--	--	--	--	--	--	--	9.7	
178	1-9,2			185C3	5.3456878662	61	0.8079223633	4.5377655029	0.0876342273	0.0743895984	0.0865325928	0.0732879639	--	--	--	--	--	--	--	--	--	--	8.5	
179	1-9,3			176K10	2.4847564697	61	0.8302612305	1.6544952393	0.0407337126	0.0271228728	0.0392303467	0.0256195068	--	--	--	--	--	--	--	--	--	--	4.2	
180	1-9,4			169H2	5.3302459717	61	0.8935546875	4.4366912842	0.0873810815	0.0727326440	0.0864562988	0.0718078613	--	--	--	--	--	--	--	--	--	--	3.4	
181	1-9,5			196P14	1.8040924072	61	0.8316574097	0.9724349976	0.0295752854	0.0159415573	0.0292358398	0.0156021118	--	--	--	--	--	--	--	--	--	--	1.7	
182	1-9,6			164K1	2.4889068604	61	0.7669677734	1.7219390869	0.0408017518	0.0282285096	0.0396270752	0.0270538330	--	--	--	--	--	--	--	--	--	--	0.3	
183	1-9,7			150K16	2.4608154297	61	0.7353210449	1.7254943848	0.0403412366	0.0282867932	0.0389251709	0.0268707275	--	--	--	--	--	--	--	--	--	--	6.4	
184	1-9,8			126P2	2.0818328857	61	0.7576599121	1.3241729736	0.0341284080	0.0217077537	0.0338745117	0.0214538574	--	--	--	--	--	--	--	--	--	--	3.5	
185	1-9,9			124G14	1.2977905273	61	0.8032684326	0.4945220947	0.0212752545	0.0081069196	0.0212249756	0.0080566406	--	--	--	--	--	--	--	--	--	--	18.4	
186	1-9,10			122C1	1.3332824707	61	0.8311920166	0.5020904541	0.0218570897	0.0082309911	0.0219116211	0.0082855225	--	--	--	--	--	--	--	--	--	--	6.9	
187	1-9,11			117K14	1.6710510254	61	0.8283996582	0.8426513672	0.0273942791	0.0138139568	0.0269927979	0.0134124756	--	--	--	--	--	--	--	--	--	--	18.6	
188	1-9,12			113G1	1.4452514648	61	0.7274093628	0.7178421021	0.0236926470	0.0117679033	0.0246276855	0.0127029419	--	--	--	--	--	--	--	--	--	--	11.4	
189	1-9,13			111P10	1.5912780762	61	0.6701660156	0.9211120605	0.0260865258	0.0151001977	0.0260162354	0.0150299072	--	--	--	--	--	--	--	--	--	--	7.3	
190	1-9,14			107N1	1.7042846680	61	0.7101898193	0.9940948486	0.0279390929	0.0162966369	0.0283966064	0.0167541504	--	--	--	--	--	--	--	--	--	--	7.4	
191	1-9,15			105D13	1.5267333984	61	0.7339248657	0.7928085327	0.0250284164	0.0129968612	0.0243377686	0.0123062134	--	--	--	--	--	--	--	--	--	--	9.1	
192	1-9,16			98O2	2.7312774658	61	0.7139129639	2.0173645020	0.0447750404	0.0330715492	0.0458221436	0.0341186523	--	--	--	--	--	--	--	--	--	--	6.1	
193	1-9,17			91J13	2.8975677490	61	0.7464904785	2.1510772705	0.0475011106	0.0352635618	0.0490570068	0.0368194580	--	--	--	--	--	--	--	--	--	--	11.7	
194	1-9,18			83C2	2.8639221191	61	0.7027435303	2.1611785889	0.0469495429	0.0354291572	0.0466766357	0.0351562500	--	--	--	--	--	--	--	--	--	--	1.7	
195	1-9,19			61K19	10.5082855225	61	0.7734832764	9.7348022461	0.1722669758	0.1595869221	0.1752319336	0.1625518799	--	--	--	--	--	--	--	--	--	--	8.0	
196	1-9,20			48G1	3.3466033936	61	0.7967529297	2.5498504639	0.0548623507	0.0418008273	0.0552062988	0.0421447754	--	--	--	--	--	--	--	--	--	--	0.9	
197	1-9,21			19P20	6.6362152100	61	0.8144378662	5.8217773438	0.1087904133	0.0954389728	0.1116180420	0.0982666016	--	--	--	--	--	--	--	--	--	--	0.6	
198	1-9,22			6N1	3.2485198975	61	0.7637100220	2.4848098755	0.0532544245	0.0407345881	0.0543212891	0.0418014526	--	--	--	--	--	--	--	--	--	--	0.5	
